Codes:,Depreciable assets (Net),Accumulated depreciation (Net),Inventories (Net),Land (Net),Depreciable assets (Income),Accumulated depreciation (Income),Inventories (Income),Land (Income)
446199,330537420.575,169692243.052,173201594.205,7944668.3396,243569354.242,140163783.167,135220447.035,4064599.26255
447,11367317969.9,5301160917.81,1205478152.58,2724053172.94,8830243871.8,4301802153.2,887703900.965,2043891115.9
4471,11367317969.9,5301160917.81,1205478152.58,2724053172.94,8830243871.8,4301802153.2,887703900.965,2043891115.9
44711,5683658984.95,2650580458.9,602739076.289,1362026586.47,4415121935.9,2150901076.6,443851950.483,1021945557.95
447110,5683658984.95,2650580458.9,602739076.289,1362026586.47,4415121935.9,2150901076.6,443851950.483,1021945557.95
44719,5683658984.95,2650580458.9,602739076.289,1362026586.47,4415121935.9,2150901076.6,443851950.483,1021945557.95
447190,5683658984.95,2650580458.9,602739076.289,1362026586.47,4415121935.9,2150901076.6,443851950.483,1021945557.95
448,3014293244.55,1557569452.11,2545462813.11,75096391.3805,1805176603.24,994726399.965,1777923160.73,37761459.9154
4481,1004764414.85,519189817.371,848487604.371,25032130.4602,601725534.412,331575466.655,592641053.577,12587153.3051
44811,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
448110,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
44812,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
448120,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
44813,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
448130,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
44814,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
448140,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
44815,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
448150,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
44819,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
448190,167460735.808,86531636.2286,141414600.728,4172021.74336,100287589.069,55262577.7759,98773508.9295,2097858.88419
4482,1004764414.85,519189817.371,848487604.371,25032130.4602,601725534.412,331575466.655,592641053.577,12587153.3051
44821,1004764414.85,519189817.371,848487604.371,25032130.4602,601725534.412,331575466.655,592641053.577,12587153.3051
448210,1004764414.85,519189817.371,848487604.371,25032130.4602,601725534.412,331575466.655,592641053.577,12587153.3051
4483,1004764414.85,519189817.371,848487604.371,25032130.4602,601725534.412,331575466.655,592641053.577,12587153.3051
44831,502382207.425,259594908.686,424243802.185,12516065.2301,300862767.206,165787733.328,296320526.788,6293576.65256
448310,502382207.425,259594908.686,424243802.185,12516065.2301,300862767.206,165787733.328,296320526.788,6293576.65256
44832,502382207.425,259594908.686,424243802.185,12516065.2301,300862767.206,165787733.328,296320526.788,6293576.65256
448320,502382207.425,259594908.686,424243802.185,12516065.2301,300862767.206,165787733.328,296320526.788,6293576.65256
451,2455180557.27,1268205048.98,2370988842.22,30979004.3729,1351382884.24,558645209.518,1270387333.58,21931056.7084
4511,1227590278.64,634102524.49,1185494421.11,15489502.1864,675691442.122,279322604.759,635193666.79,10965528.3542
45111,306897569.659,158525631.122,296373605.278,3872375.54661,168922860.53,69830651.1898,158798416.697,2741382.08855
451110,306897569.659,158525631.122,296373605.278,3872375.54661,168922860.53,69830651.1898,158798416.697,2741382.08855
45112,306897569.659,158525631.122,296373605.278,3872375.54661,168922860.53,69830651.1898,158798416.697,2741382.08855
451120,306897569.659,158525631.122,296373605.278,3872375.54661,168922860.53,69830651.1898,158798416.697,2741382.08855
45113,306897569.659,158525631.122,296373605.278,3872375.54661,168922860.53,69830651.1898,158798416.697,2741382.08855
451130,306897569.659,158525631.122,296373605.278,3872375.54661,168922860.53,69830651.1898,158798416.697,2741382.08855
45114,306897569.659,158525631.122,296373605.278,3872375.54661,168922860.53,69830651.1898,158798416.697,2741382.08855
451140,306897569.659,158525631.122,296373605.278,3872375.54661,168922860.53,69830651.1898,158798416.697,2741382.08855
4512,1227590278.64,634102524.49,1185494421.11,15489502.1864,675691442.122,279322604.759,635193666.79,10965528.3542
45121,1227590278.64,634102524.49,1185494421.11,15489502.1864,675691442.122,279322604.759,635193666.79,10965528.3542
451211,613795139.319,317051262.245,592747210.556,7744751.09322,337845721.061,139661302.38,317596833.395,5482764.1771
451212,613795139.319,317051262.245,592747210.556,7744751.09322,337845721.061,139661302.38,317596833.395,5482764.1771
452,5925954630.91,2825202383.05,1514836994.85,334853980.215,4629077510.61,2413409121.4,1431500440.65,262266255.467
4521,2962977315.45,1412601191.52,757418497.426,167426990.107,2314538755.31,1206704560.7,715750220.323,131133127.734
45211,2962977315.45,1412601191.52,757418497.426,167426990.107,2314538755.31,1206704560.7,715750220.323,131133127.734
452111,1481488657.73,706300595.761,378709248.713,83713495.0537,1157269377.65,603352280.349,357875110.161,65566563.8668
452112,1481488657.73,706300595.761,378709248.713,83713495.0537,1157269377.65,603352280.349,357875110.161,65566563.8668
4529,2962977315.45,1412601191.52,757418497.426,167426990.107,2314538755.31,1206704560.7,715750220.323,131133127.734
45291,1481488657.73,706300595.761,378709248.713,83713495.0537,1157269377.65,603352280.349,357875110.161,65566563.8668
452910,1481488657.73,706300595.761,378709248.713,83713495.0537,1157269377.65,603352280.349,357875110.161,65566563.8668
45299,1481488657.73,706300595.761,378709248.713,83713495.0537,1157269377.65,603352280.349,357875110.161,65566563.8668
452990,1481488657.73,706300595.761,378709248.713,83713495.0537,1157269377.65,603352280.349,357875110.161,65566563.8668
453,3994941707.11,1925773980.43,4424246732.17,130664602.635,2520692464.31,1494283042.05,2698272375.74,96844962.4323
4531,998735426.778,481443495.107,1106061683.04,32666150.6589,630173116.078,373570760.513,674568093.935,24211240.6081
45311,998735426.778,481443495.107,1106061683.04,32666150.6589,630173116.078,373570760.513,674568093.935,24211240.6081
453110,998735426.778,481443495.107,1106061683.04,32666150.6589,630173116.078,373570760.513,674568093.935,24211240.6081
4532,998735426.778,481443495.107,1106061683.04,32666150.6589,630173116.078,373570760.513,674568093.935,24211240.6081
45321,499367713.389,240721747.554,553030841.522,16333075.3294,315086558.039,186785380.256,337284046.968,12105620.304
453210,499367713.389,240721747.554,553030841.522,16333075.3294,315086558.039,186785380.256,337284046.968,12105620.304
45322,499367713.389,240721747.554,553030841.522,16333075.3294,315086558.039,186785380.256,337284046.968,12105620.304
453220,499367713.389,240721747.554,553030841.522,16333075.3294,315086558.039,186785380.256,337284046.968,12105620.304
4533,998735426.778,481443495.107,1106061683.04,32666150.6589,630173116.078,373570760.513,674568093.935,24211240.6081
45331,998735426.778,481443495.107,1106061683.04,32666150.6589,630173116.078,373570760.513,674568093.935,24211240.6081
453310,998735426.778,481443495.107,1106061683.04,32666150.6589,630173116.078,373570760.513,674568093.935,24211240.6081
4539,998735426.778,481443495.107,1106061683.04,32666150.6589,630173116.078,373570760.513,674568093.935,24211240.6081
45391,249683856.695,120360873.777,276515420.761,8166537.66472,157543279.019,93392690.1281,168642023.484,6052810.15202
453910,249683856.695,120360873.777,276515420.761,8166537.66472,157543279.019,93392690.1281,168642023.484,6052810.15202
45392,249683856.695,120360873.777,276515420.761,8166537.66472,157543279.019,93392690.1281,168642023.484,6052810.15202
453920,249683856.695,120360873.777,276515420.761,8166537.66472,157543279.019,93392690.1281,168642023.484,6052810.15202
45393,249683856.695,120360873.777,276515420.761,8166537.66472,157543279.019,93392690.1281,168642023.484,6052810.15202
453930,249683856.695,120360873.777,276515420.761,8166537.66472,157543279.019,93392690.1281,168642023.484,6052810.15202
45399,249683856.695,120360873.777,276515420.761,8166537.66472,157543279.019,93392690.1281,168642023.484,6052810.15202
453991,124841928.347,60180436.8884,138257710.38,4083268.83236,78771639.5097,46696345.0641,84321011.7419,3026405.07601
453998,124841928.347,60180436.8884,138257710.38,4083268.83236,78771639.5097,46696345.0641,84321011.7419,3026405.07601
454,8463411593.65,3971275053.93,2349975097.19,498283716.5,7553580344.19,3539515354.69,1851902791.5,402286562.78
4541,2821137197.88,1323758351.31,783325032.395,166094572.167,2517860114.73,1179838451.56,617300930.499,134095520.927
45411,2821137197.88,1323758351.31,783325032.395,166094572.167,2517860114.73,1179838451.56,617300930.499,134095520.927
454111,940379065.961,441252783.77,261108344.132,55364857.3889,839286704.91,393279483.854,205766976.833,44698506.9756
454112,940379065.961,441252783.77,261108344.132,55364857.3889,839286704.91,393279483.854,205766976.833,44698506.9756
454113,940379065.961,441252783.77,261108344.132,55364857.3889,839286704.91,393279483.854,205766976.833,44698506.9756
4542,2821137197.88,1323758351.31,783325032.395,166094572.167,2517860114.73,1179838451.56,617300930.499,134095520.927
45421,2821137197.88,1323758351.31,783325032.395,166094572.167,2517860114.73,1179838451.56,617300930.499,134095520.927
454210,2821137197.88,1323758351.31,783325032.395,166094572.167,2517860114.73,1179838451.56,617300930.499,134095520.927
4543,2821137197.88,1323758351.31,783325032.395,166094572.167,2517860114.73,1179838451.56,617300930.499,134095520.927
45431,1410568598.94,661879175.655,391662516.198,83047286.0834,1258930057.36,589919225.781,308650465.25,67047760.4634
454310,1410568598.94,661879175.655,391662516.198,83047286.0834,1258930057.36,589919225.781,308650465.25,67047760.4634
45439,1410568598.94,661879175.655,391662516.198,83047286.0834,1258930057.36,589919225.781,308650465.25,67047760.4634
454390,1410568598.94,661879175.655,391662516.198,83047286.0834,1258930057.36,589919225.781,308650465.25,67047760.4634
48.49,297843958598.0,75082619894.0,5108920518.72,1623939327.25,172287647448.0,54302984508.8,2828574132.53,1128803921.61
481,8938299782.35,3942276459.54,180557734.701,185824618.136,3104876178.09,1439619810.02,98180159.3637,110750425.102
4811,4469149891.17,1971138229.77,90278867.3507,92912309.0681,1552438089.04,719809905.008,49090079.6819,55375212.5508
48111,4469149891.17,1971138229.77,90278867.3507,92912309.0681,1552438089.04,719809905.008,49090079.6819,55375212.5508
481111,2234574945.59,985569114.884,45139433.6754,46456154.5341,776219044.521,359904952.504,24545039.8409,27687606.2754
481112,2234574945.59,985569114.884,45139433.6754,46456154.5341,776219044.521,359904952.504,24545039.8409,27687606.2754
4812,4469149891.17,1971138229.77,90278867.3507,92912309.0681,1552438089.04,719809905.008,49090079.6819,55375212.5508
48121,4469149891.17,1971138229.77,90278867.3507,92912309.0681,1552438089.04,719809905.008,49090079.6819,55375212.5508
481211,1489716630.39,657046076.589,30092955.7836,30970769.6894,517479363.014,239936635.003,16363359.894,18458404.1836
