Codes:,Interest Paid,Land,Capital Stock,Cost of Treasury Stock,Depreciable Assets,Earnings (rtnd appr),Earnings (rtnd unappr.),Accumulated Depreciation,Inventories,Additional paid-in Capital
5612,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
56121,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
561210,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
5613,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
56131,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
561311,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561312,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
56132,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
561320,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
56133,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
561330,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
5614,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
56141,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561410,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
56142,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561421,16458.5040815,20700.2477811,23153.0237237,17800.6436963,639350.226435,0.0,179710.421914,457820.069926,22387.6473894,62838.4172686
561422,16458.5040815,20700.2477811,23153.0237237,17800.6436963,639350.226435,0.0,179710.421914,457820.069926,22387.6473894,62838.4172686
56143,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561431,16458.5040815,20700.2477811,23153.0237237,17800.6436963,639350.226435,0.0,179710.421914,457820.069926,22387.6473894,62838.4172686
561439,16458.5040815,20700.2477811,23153.0237237,17800.6436963,639350.226435,0.0,179710.421914,457820.069926,22387.6473894,62838.4172686
56144,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561440,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
56145,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561450,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
56149,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561491,10972.3360544,13800.1651874,15435.3491492,11867.0957975,426233.48429,0.0,119806.947942,305213.379951,14925.0982596,41892.2781791
561492,10972.3360544,13800.1651874,15435.3491492,11867.0957975,426233.48429,0.0,119806.947942,305213.379951,14925.0982596,41892.2781791
561499,10972.3360544,13800.1651874,15435.3491492,11867.0957975,426233.48429,0.0,119806.947942,305213.379951,14925.0982596,41892.2781791
5615,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
56151,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
561510,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
56152,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
561520,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
56159,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
561591,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561599,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
5616,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
56161,98751.0244892,124201.486687,138918.142342,106803.862178,3836101.35861,0.0,1078262.53148,2746920.41955,134325.884337,377030.503611
561611,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561612,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
561613,32917.0081631,41400.4955622,46306.0474475,35601.2873926,1278700.45287,0.0,359420.843827,915640.139852,44775.2947789,125676.834537
56162,98751.0244892,124201.486687,138918.142342,106803.862178,3836101.35861,0.0,1078262.53148,2746920.41955,134325.884337,377030.503611
561621,49375.5122446,62100.7433433,69459.0711712,53401.9310889,1918050.67931,0.0,539131.265741,1373460.20978,67162.9421683,188515.251806
561622,49375.5122446,62100.7433433,69459.0711712,53401.9310889,1918050.67931,0.0,539131.265741,1373460.20978,67162.9421683,188515.251806
5617,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
56171,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
561710,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
56172,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
561720,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
56173,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
561730,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
56174,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
561740,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
56179,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
561790,39500.4097957,49680.5946747,55567.256937,42721.5448711,1534440.54344,0.0,431305.012593,1098768.16782,53730.3537346,150812.201445
5619,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
56191,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
561910,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
56192,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
561920,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
56199,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
561990,65834.0163261,82800.9911245,92612.094895,71202.5747852,2557400.90574,0.0,718841.687655,1831280.2797,89550.5895577,251353.669074
562,952294.585525,1197723.30361,1339641.74517,1029951.23535,36993019.2849,0.0,10398105.4963,26489623.3324,1295356.81287,3635851.97241
5621,317431.528508,399241.101203,446547.24839,343317.078451,12331006.4283,0.0,3466035.16543,8829874.44414,431785.604289,1211950.65747
56211,317431.528508,399241.101203,446547.24839,343317.078451,12331006.4283,0.0,3466035.16543,8829874.44414,431785.604289,1211950.65747
562111,105810.509503,133080.367068,148849.082797,114439.02615,4110335.4761,0.0,1155345.05514,2943291.48138,143928.534763,403983.55249
562112,105810.509503,133080.367068,148849.082797,114439.02615,4110335.4761,0.0,1155345.05514,2943291.48138,143928.534763,403983.55249
562119,105810.509503,133080.367068,148849.082797,114439.02615,4110335.4761,0.0,1155345.05514,2943291.48138,143928.534763,403983.55249
5622,317431.528508,399241.101203,446547.24839,343317.078451,12331006.4283,0.0,3466035.16543,8829874.44414,431785.604289,1211950.65747
56221,317431.528508,399241.101203,446547.24839,343317.078451,12331006.4283,0.0,3466035.16543,8829874.44414,431785.604289,1211950.65747
562211,79357.8821271,99810.2753007,111636.812097,85829.2696128,3082751.60707,0.0,866508.791357,2207468.61104,107946.401072,302987.664368
562212,79357.8821271,99810.2753007,111636.812097,85829.2696128,3082751.60707,0.0,866508.791357,2207468.61104,107946.401072,302987.664368
562213,79357.8821271,99810.2753007,111636.812097,85829.2696128,3082751.60707,0.0,866508.791357,2207468.61104,107946.401072,302987.664368
562219,79357.8821271,99810.2753007,111636.812097,85829.2696128,3082751.60707,0.0,866508.791357,2207468.61104,107946.401072,302987.664368
5629,317431.528508,399241.101203,446547.24839,343317.078451,12331006.4283,0.0,3466035.16543,8829874.44414,431785.604289,1211950.65747
56291,105810.509503,133080.367068,148849.082797,114439.02615,4110335.4761,0.0,1155345.05514,2943291.48138,143928.534763,403983.55249
562910,105810.509503,133080.367068,148849.082797,114439.02615,4110335.4761,0.0,1155345.05514,2943291.48138,143928.534763,403983.55249
56292,105810.509503,133080.367068,148849.082797,114439.02615,4110335.4761,0.0,1155345.05514,2943291.48138,143928.534763,403983.55249
562920,105810.509503,133080.367068,148849.082797,114439.02615,4110335.4761,0.0,1155345.05514,2943291.48138,143928.534763,403983.55249
56299,105810.509503,133080.367068,148849.082797,114439.02615,4110335.4761,0.0,1155345.05514,2943291.48138,143928.534763,403983.55249
562991,52905.2547514,66540.1835338,74424.5413983,57219.5130752,2055167.73805,0.0,577672.527571,1471645.74069,71964.2673815,201991.776245
562998,52905.2547514,66540.1835338,74424.5413983,57219.5130752,2055167.73805,0.0,577672.527571,1471645.74069,71964.2673815,201991.776245
61,287569.997092,342555.011634,535416.002908,258582.003878,13092871.0029,0.0,4573123.0,6959536.00582,396334.995153,2959637.00388
611,287569.997092,342555.011634,535416.002908,258582.003878,13092871.0029,0.0,4573123.0,6959536.00582,396334.995153,2959637.00388
