Codes:,Interest Paid,Land,Capital Stock,Cost of Treasury Stock,Depreciable Assets,Earnings (rtnd appr),Earnings (rtnd unappr.),Accumulated Depreciation,Inventories,Additional paid-in Capital
2382,2560040.29408,-6291472.43913,6481018.5409,7799502.26328,121136493.477,674468.345537,40437681.5888,99170203.8923,-10337625.339,14689290.0096
23821,848373.989577,-2723073.49937,1850786.61337,2955486.48575,51130167.7627,405389.874017,22562668.5664,37537653.3583,-5260283.53361,15760237.0764
238210,848373.989577,-2723073.49937,1850786.61337,2955486.48575,51130167.7627,405389.874017,22562668.5664,37537653.3583,-5260283.53361,15760237.0764
23822,1711666.30451,-3568398.93976,4630231.92752,4844015.77753,70006325.7143,269078.471521,17875013.0224,61632550.534,-5077341.80542,-1070947.06685
238220,1711666.30451,-3568398.93976,4630231.92752,4844015.77753,70006325.7143,269078.471521,17875013.0224,61632550.534,-5077341.80542,-1070947.06685
31.32.33,390201449.527,156704067.701,885921252.334,2228904569.51,5008320030.34,25435913.5687,3138349259.54,2797645142.94,1144521021.07,5909816029.01
311,25612400.0088,9592955.11536,66670669.3874,108396591.153,378301142.73,178188.385815,202713897.086,205914930.629,102983971.778,308112910.062
3116,25612400.0088,9592955.11536,66670669.3874,108396591.153,378301142.73,178188.385815,202713897.086,205914930.629,102983971.778,308112910.062
31161,25612400.0088,9592955.11536,66670669.3874,108396591.153,378301142.73,178188.385815,202713897.086,205914930.629,102983971.778,308112910.062
311615,25612400.0088,9592955.11536,66670669.3874,108396591.153,378301142.73,178188.385815,202713897.086,205914930.629,102983971.778,308112910.062
312,13047689.1305,4846939.17998,11418813.1449,131187090.966,100268229.009,0.0,128061045.417,45248897.0504,29720511.2726,128857227.943
3121,13047689.1305,4846939.17998,11418813.1449,131187090.966,100268229.009,0.0,128061045.417,45248897.0504,29720511.2726,128857227.943
31212,13047689.1305,4846939.17998,11418813.1449,131187090.966,100268229.009,0.0,128061045.417,45248897.0504,29720511.2726,128857227.943
312120,13047689.1305,4846939.17998,11418813.1449,131187090.966,100268229.009,0.0,128061045.417,45248897.0504,29720511.2726,128857227.943
