Codes:,land_net,inventories_income,accumulated_depreciation_income,land_income,inventories_net,accumulated_depreciation_net,depreciable_assets_net,depreciable_assets_income
33633,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
336330,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
33634,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
336340,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
33635,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
336350,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
33636,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
336360,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
33637,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
336370,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
33639,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
336390,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
3364,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
33641,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
336411,10720263.04,179580424.906,251615619.048,9441746.82124,198779525.772,277289806.994,650104065.8,595615355.18
336412,10720263.04,179580424.906,251615619.048,9441746.82124,198779525.772,277289806.994,650104065.8,595615355.18
336413,10720263.04,179580424.906,251615619.048,9441746.82124,198779525.772,277289806.994,650104065.8,595615355.18
336414,10720263.04,179580424.906,251615619.048,9441746.82124,198779525.772,277289806.994,650104065.8,595615355.18
336415,10720263.04,179580424.906,251615619.048,9441746.82124,198779525.772,277289806.994,650104065.8,595615355.18
336419,10720263.04,179580424.906,251615619.048,9441746.82124,198779525.772,277289806.994,650104065.8,595615355.18
3365,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
33651,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
