Codes:,Capital_stock,land,earnings_(rtnd_appr.),cost_of_treasury_stock,additional_paid-in_capital,depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
211,15223206011.9,3072462594.66,248299814.347,7645556229.85,96761455704.1,111828789813.0,40627883419.6,44220070717.6,7731060102.91,5757858196.18
2111,15223206011.9,3072462594.66,248299814.347,7645556229.85,96761455704.1,111828789813.0,40627883419.6,44220070717.6,7731060102.91,5757858196.18
21111,15223206011.9,3072462594.66,248299814.347,7645556229.85,96761455704.1,111828789813.0,40627883419.6,44220070717.6,7731060102.91,5757858196.18
211111,7611603005.96,1536231297.33,124149907.173,3822778114.93,48380727852.1,55914394906.3,20313941709.8,22110035358.8,3865530051.45,2878929098.09
211112,7611603005.96,1536231297.33,124149907.173,3822778114.93,48380727852.1,55914394906.3,20313941709.8,22110035358.8,3865530051.45,2878929098.09
212,15223206011.9,3072462594.66,248299814.347,7645556229.85,96761455704.1,111828789813.0,40627883419.6,44220070717.6,7731060102.91,5757858196.18
2121,5074402003.97,1024154198.22,82766604.7823,2548518743.28,32253818568.0,37276263270.9,13542627806.5,14740023572.5,2577020034.3,1919286065.39
21211,5074402003.97,1024154198.22,82766604.7823,2548518743.28,32253818568.0,37276263270.9,13542627806.5,14740023572.5,2577020034.3,1919286065.39
212111,1691467334.66,341384732.74,27588868.2608,849506247.761,10751272856.0,12425421090.3,4514209268.84,4913341190.85,859006678.101,639762021.798
212112,1691467334.66,341384732.74,27588868.2608,849506247.761,10751272856.0,12425421090.3,4514209268.84,4913341190.85,859006678.101,639762021.798
212113,1691467334.66,341384732.74,27588868.2608,849506247.761,10751272856.0,12425421090.3,4514209268.84,4913341190.85,859006678.101,639762021.798
2122,5074402003.97,1024154198.22,82766604.7823,2548518743.28,32253818568.0,37276263270.9,13542627806.5,14740023572.5,2577020034.3,1919286065.39
21221,1268600500.99,256038549.555,20691651.1956,637129685.821,8063454642.01,9319065817.72,3385656951.63,3685005893.14,644255008.575,479821516.348
212210,1268600500.99,256038549.555,20691651.1956,637129685.821,8063454642.01,9319065817.72,3385656951.63,3685005893.14,644255008.575,479821516.348
21222,1268600500.99,256038549.555,20691651.1956,637129685.821,8063454642.01,9319065817.72,3385656951.63,3685005893.14,644255008.575,479821516.348
212221,634300250.497,128019274.777,10345825.5978,318564842.91,4031727321.01,4659532908.86,1692828475.82,1842502946.57,322127504.288,239910758.174
