HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
870830091556419,91001,1,201404,57,27.51
870830091556419,91001,2,201404,56,15.32
590922802092369,93001,1,201404,30,11.00
506904455991733,91001,1,201404,60,11.25
465565069400944,91001,1,201404,60,20.00
854309660159509,91001,1,201404,28,8.00
854309660159509,91001,4,201404,29,9.00
750844097752639,93001,1,201404,49,14.00
445170086909163,91001,2,201404,32,7.25
611074945569080,91001,1,201404,46,11.75
202905935990245,93001,1,201404,44,7.50
115760360390503,91001,1,201404,30,12.50
115760360390503,91001,2,201404,31,32.00
036095173560310,91001,1,201404,56,30.00
726592949500925,93001,1,201404,47,10.50
935075551529520,93001,2,201404,48,19.20
559550123750925,93001,1,201404,55,17.00
559550123750925,93001,2,201404,54,14.50
559550123750925,93001,3,201404,25,17.00
270555095152539,93001,1,201404,29,16.00
569210269230925,93001,1,201404,35,9.00
