Codes:,Capital_stock,land,cost_of_treasury_stock,additional_paid-in_capital,earnings_(rtnd_appr),depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
21232,3424156.4124,804342.474857,1773171.38754,22004532.3448,55177.7365215,27226886.7015,11143425.7599,11589894.6086,1829033.64859,1322054.63384
212321,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
212322,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
212324,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
212325,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
21239,3424156.4124,804342.474857,1773171.38754,22004532.3448,55177.7365215,27226886.7015,11143425.7599,11589894.6086,1829033.64859,1322054.63384
212391,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
212392,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
212393,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
212399,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
213,30817407.7116,7239082.27372,15958542.4878,198040791.103,496599.628694,245041980.313,100290831.839,104309051.477,16461302.8373,11898491.7046
2131,30817407.7116,7239082.27372,15958542.4878,198040791.103,496599.628694,245041980.313,100290831.839,104309051.477,16461302.8373,11898491.7046
21311,30817407.7116,7239082.27372,15958542.4878,198040791.103,496599.628694,245041980.313,100290831.839,104309051.477,16461302.8373,11898491.7046
213111,6163481.54232,1447816.45474,3191708.49757,39608158.2206,99319.9257387,49008396.0626,20058166.3678,20861810.2955,3292260.56746,2379698.34092
213112,6163481.54232,1447816.45474,3191708.49757,39608158.2206,99319.9257387,49008396.0626,20058166.3678,20861810.2955,3292260.56746,2379698.34092
213113,6163481.54232,1447816.45474,3191708.49757,39608158.2206,99319.9257387,49008396.0626,20058166.3678,20861810.2955,3292260.56746,2379698.34092
213114,6163481.54232,1447816.45474,3191708.49757,39608158.2206,99319.9257387,49008396.0626,20058166.3678,20861810.2955,3292260.56746,2379698.34092
213115,6163481.54232,1447816.45474,3191708.49757,39608158.2206,99319.9257387,49008396.0626,20058166.3678,20861810.2955,3292260.56746,2379698.34092
22,180823468.121,9192742.61372,33098871.9718,465379552.763,3983549.41258,2707120441.29,186840799.284,849372795.889,58353140.138,67167656.111
221,180823468.121,9192742.61372,33098871.9718,465379552.763,3983549.41258,2707120441.29,186840799.284,849372795.889,58353140.138,67167656.111
2212,180823468.121,9192742.61372,33098871.9718,465379552.763,3983549.41258,2707120441.29,186840799.284,849372795.889,58353140.138,67167656.111
