Codes:,depreciation,total_net_income,total_net_loss
488,628372000.0,2278119000.0,1373938000.0
4881,104728666.667,379686500.0,228989666.667
48811,52364333.3333,189843250.0,114494833.333
488111,26182166.6667,94921625.0,57247416.6667
488119,26182166.6667,94921625.0,57247416.6667
48819,52364333.3333,189843250.0,114494833.333
488190,52364333.3333,189843250.0,114494833.333
4882,104728666.667,379686500.0,228989666.667
48821,104728666.667,379686500.0,228989666.667
488210,104728666.667,379686500.0,228989666.667
4883,104728666.667,379686500.0,228989666.667
48831,26182166.6667,94921625.0,57247416.6667
488310,26182166.6667,94921625.0,57247416.6667
48832,26182166.6667,94921625.0,57247416.6667
488320,26182166.6667,94921625.0,57247416.6667
48833,26182166.6667,94921625.0,57247416.6667
488330,26182166.6667,94921625.0,57247416.6667
48839,26182166.6667,94921625.0,57247416.6667
488390,26182166.6667,94921625.0,57247416.6667
4884,104728666.667,379686500.0,228989666.667
48841,52364333.3333,189843250.0,114494833.333
488410,52364333.3333,189843250.0,114494833.333
48849,52364333.3333,189843250.0,114494833.333
488490,52364333.3333,189843250.0,114494833.333
4885,104728666.667,379686500.0,228989666.667
48851,104728666.667,379686500.0,228989666.667
488510,104728666.667,379686500.0,228989666.667
4889,104728666.667,379686500.0,228989666.667
48899,104728666.667,379686500.0,228989666.667
488991,52364333.3333,189843250.0,114494833.333
488999,52364333.3333,189843250.0,114494833.333
492,1170000.0,48533000.0,1578000.0
4921,585000.0,24266500.0,789000.0
49211,585000.0,24266500.0,789000.0
492110,585000.0,24266500.0,789000.0
4922,585000.0,24266500.0,789000.0
49221,585000.0,24266500.0,789000.0
492210,585000.0,24266500.0,789000.0
493,363658000.801,1407286000.0,118059963.558
4931,363658000.801,1407286000.0,118059963.558
49311,90914500.2002,351821500.0,29514990.8896
493110,90914500.2002,351821500.0,29514990.8896
49312,90914500.2002,351821500.0,29514990.8896
493120,90914500.2002,351821500.0,29514990.8896
49313,90914500.2002,351821500.0,29514990.8896
493130,90914500.2002,351821500.0,29514990.8896
49319,90914500.2002,351821500.0,29514990.8896
493190,90914500.2002,351821500.0,29514990.8896
51,21774165057.2,64115284000.0,14222472057.2
511,258834582.368,2130168000.0,1032679227.27
5111,54933496.3931,452094055.88,219169633.7
51111,23225290.1461,191140493.698,92662558.6959
511110,23225290.1461,191140493.698,92662558.6959
51112,14813977.0104,121916706.383,59103718.6451
511120,14813977.0104,121916706.383,59103718.6451
51113,16894229.2366,139036855.799,67403356.3588
511130,16894229.2366,139036855.799,67403356.3588
5112,203901085.975,1678073944.12,813509593.569
51121,203901085.975,1678073944.12,813509593.569
511210,203901085.975,1678073944.12,813509593.569
512,365147824.646,2727163000.0,2919792095.43
5121,182573912.323,1363581500.0,1459896047.71
51211,45643478.0807,340895375.0,364974011.928
512110,45643478.0807,340895375.0,364974011.928
51212,45643478.0807,340895375.0,364974011.928
512120,45643478.0807,340895375.0,364974011.928
51213,45643478.0807,340895375.0,364974011.928
512131,22821739.0404,170447687.5,182487005.964
512132,22821739.0404,170447687.5,182487005.964
51219,45643478.0807,340895375.0,364974011.928
512191,22821739.0404,170447687.5,182487005.964
512199,22821739.0404,170447687.5,182487005.964
5122,182573912.323,1363581500.0,1459896047.71
51221,36514782.4646,272716300.0,291979209.543
512210,36514782.4646,272716300.0,291979209.543
51222,36514782.4646,272716300.0,291979209.543
512220,36514782.4646,272716300.0,291979209.543
51223,36514782.4646,272716300.0,291979209.543
512230,36514782.4646,272716300.0,291979209.543
51224,36514782.4646,272716300.0,291979209.543
512240,36514782.4646,272716300.0,291979209.543
51229,36514782.4646,272716300.0,291979209.543
512290,36514782.4646,272716300.0,291979209.543
515,3518389857.91,10537511000.0,2317799077.32
5151,1759194928.95,5268755500.0,1158899538.66
51511,879597464.477,2634377750.0,579449769.331
515111,439798732.238,1317188875.0,289724884.666
515112,439798732.238,1317188875.0,289724884.666
51512,879597464.477,2634377750.0,579449769.331
515120,879597464.477,2634377750.0,579449769.331
5152,1759194928.95,5268755500.0,1158899538.66
51521,1759194928.95,5268755500.0,1158899538.66
515210,1759194928.95,5268755500.0,1158899538.66
517,17119129951.3,43175161000.0,6117079570.66
5171,4279782487.84,10793790250.0,1529269892.67
51711,4279782487.84,10793790250.0,1529269892.67
517110,4279782487.84,10793790250.0,1529269892.67
5172,4279782487.84,10793790250.0,1529269892.67
51721,4279782487.84,10793790250.0,1529269892.67
517210,4279782487.84,10793790250.0,1529269892.67
5174,4279782487.84,10793790250.0,1529269892.67
51741,4279782487.84,10793790250.0,1529269892.67
517410,4279782487.84,10793790250.0,1529269892.67
5179,4279782487.84,10793790250.0,1529269892.67
51791,4279782487.84,10793790250.0,1529269892.67
517911,2139891243.92,5396895125.0,764634946.333
517919,2139891243.92,5396895125.0,764634946.333
518,173350944.13,768994000.0,830537030.403
5182,173350944.13,768994000.0,830537030.403
51821,173350944.13,768994000.0,830537030.403
518210,173350944.13,768994000.0,830537030.403
519,339311896.835,4776287000.0,1004585056.14
5191,339311896.835,4776287000.0,1004585056.14
51911,84827974.2086,1194071750.0,251146264.035
519110,84827974.2086,1194071750.0,251146264.035
51912,84827974.2086,1194071750.0,251146264.035
519120,84827974.2086,1194071750.0,251146264.035
51913,84827974.2086,1194071750.0,251146264.035
519130,84827974.2086,1194071750.0,251146264.035
51919,84827974.2086,1194071750.0,251146264.035
519190,84827974.2086,1194071750.0,251146264.035
52,3441345359.96,378963472000.0,43556712360.0
521,4.88663414124,-13.5755680745,4.88663412829
5211,4.88663414124,-13.5755680745,4.88663412829
52111,4.88663414124,-13.5755680745,4.88663412829
521110,4.88663414124,-13.5755680745,4.88663412829
522,537203009.032,19080324974.9,2003988009.03
5221,3411009.39649,330220973.896,618009.396494
52211,3411009.39649,330220973.896,618009.396494
522110,3411009.39649,330220973.896,618009.396494
5222,314971999.636,16235684001.0,1489586999.64
52229,314971999.636,16235684001.0,1489586999.64
522292,314971999.636,16235684001.0,1489586999.64
5223,218820000.0,2514420000.0,513783000.0
52231,72940000.0,838140000.0,171261000.0
522310,72940000.0,838140000.0,171261000.0
52232,72940000.0,838140000.0,171261000.0
522320,72940000.0,838140000.0,171261000.0
52239,72940000.0,838140000.0,171261000.0
522390,72940000.0,838140000.0,171261000.0
523,2633538017.09,308530311953.0,36592949017.1
5231,602394017.095,10338766952.5,5203219017.09
52311,447264847.878,7676316326.25,3863280338.31
523110,447264847.878,7676316326.25,3863280338.31
52312,155129169.217,2662450626.26,1339938678.79
523120,155129169.217,2662450626.26,1339938678.79
5239,2031144000.0,298191545000.0,31389730000.0
52391,507786000.0,74547886250.0,7847432500.0
523910,507786000.0,74547886250.0,7847432500.0
52392,507786000.0,74547886250.0,7847432500.0
523920,507786000.0,74547886250.0,7847432500.0
52393,507786000.0,74547886250.0,7847432500.0
523930,507786000.0,74547886250.0,7847432500.0
52399,507786000.0,74547886250.0,7847432500.0
523991,253893000.0,37273943125.0,3923716250.0
523999,253893000.0,37273943125.0,3923716250.0
524,132227046.785,3490405870.03,755824046.785
5242,132227046.785,3490405870.03,755824046.785
52421,132227046.785,3490405870.03,755824046.785
524210,132227046.785,3490405870.03,755824046.785
525,138377282.159,47862429216.1,4203951282.16
5251,13258.6596239,4585952.60616,402802.817457
52511,4419.55320798,1528650.86872,134267.605819
525110,4419.55320798,1528650.86872,134267.605819
52512,4419.55320798,1528650.86872,134267.605819
525120,4419.55320798,1528650.86872,134267.605819
52519,4419.55320798,1528650.86872,134267.605819
525190,4419.55320798,1528650.86872,134267.605819
5259,138364023.499,47857843263.5,4203548479.34
52591,138355184.393,47854785961.8,4203279944.13
525910,138355184.393,47854785961.8,4203279944.13
52592,4419.55320798,1528650.86872,134267.605819
525920,4419.55320798,1528650.86872,134267.605819
52599,4419.55320798,1528650.86872,134267.605819
525990,4419.55320798,1528650.86872,134267.605819
53,10386400042.7,171770447000.0,104904653043.0
531,2547152035.74,156541273836.0,100155899036.0
5311,1334386000.0,119248743000.0,68074240000.0
53111,284531000.0,27117639000.0,36476839000.0
531110,284531000.0,27117639000.0,36476839000.0
53112,756001000.0,82060048000.0,28946165000.0
531120,756001000.0,82060048000.0,28946165000.0
53113,66022000.0,2465255000.0,222459000.0
531130,66022000.0,2465255000.0,222459000.0
53119,227832000.0,7605801000.0,2428777000.0
531190,227832000.0,7605801000.0,2428777000.0
5312,1212766035.74,37292530836.3,32081659035.7
53121,1212766035.74,37292530836.3,32081659035.7
531210,1212766035.74,37292530836.3,32081659035.7
532,7718748006.52,6846508152.52,4507877006.52
5321,1929687001.63,1711627038.13,1126969251.63
53211,964843500.815,855813519.065,563484625.815
532111,482421750.407,427906759.532,281742312.907
532112,482421750.407,427906759.532,281742312.907
53212,964843500.815,855813519.065,563484625.815
532120,964843500.815,855813519.065,563484625.815
5322,1929687001.63,1711627038.13,1126969251.63
53221,482421750.407,427906759.532,281742312.907
532210,482421750.407,427906759.532,281742312.907
53222,482421750.407,427906759.532,281742312.907
532220,482421750.407,427906759.532,281742312.907
53223,482421750.407,427906759.532,281742312.907
532230,482421750.407,427906759.532,281742312.907
53229,482421750.407,427906759.532,281742312.907
532291,160807250.136,142635586.511,93914104.3025
532292,160807250.136,142635586.511,93914104.3025
532299,160807250.136,142635586.511,93914104.3025
5323,1929687001.63,1711627038.13,1126969251.63
53231,1929687001.63,1711627038.13,1126969251.63
