tax_exempt_general_partners,partnership_general_partners,individual_general_partners,s_corporations,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,c_corporations,corporate_limited_partners,sole_proprietorships,tax_exempt_limited_partners
812995.722,99158746.13,291288297,4317405848,113407182.2,85595213.6,6059646.694,214699018.4,10064478.4,3378478520,79623762.11,3609193602,1721883.788
812995.722,99158746.13,291288297,4317405848,113407182.2,85595213.6,6059646.694,214699018.4,10064478.4,3378478520,79623762.11,3609193602,1721883.788
812995.722,99158746.13,291288297,4317405848,113407182.2,85595213.6,6059646.694,214699018.4,10064478.4,3378478520,79623762.11,3609193602,1721883.788
5183817.249,632255256.3,1857310263,0,723106027.8,545771561.6,38637473.98,1368962277,64173052.02,0,507696437.2,17485255005,10979062.54
1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
287989.8472,35125292.02,103183903.5,0,40172557.1,30320642.31,2146526.332,76053459.85,3565169.556,0,28205357.62,971403055.9,609947.9191
287989.8472,35125292.02,103183903.5,0,40172557.1,30320642.31,2146526.332,76053459.85,3565169.556,0,28205357.62,971403055.9,609947.9191
287989.8472,35125292.02,103183903.5,0,40172557.1,30320642.31,2146526.332,76053459.85,3565169.556,0,28205357.62,971403055.9,609947.9191
287989.8472,35125292.02,103183903.5,0,40172557.1,30320642.31,2146526.332,76053459.85,3565169.556,0,28205357.62,971403055.9,609947.9191
287989.8472,35125292.02,103183903.5,0,40172557.1,30320642.31,2146526.332,76053459.85,3565169.556,0,28205357.62,971403055.9,609947.9191
287989.8472,35125292.02,103183903.5,0,40172557.1,30320642.31,2146526.332,76053459.85,3565169.556,0,28205357.62,971403055.9,609947.9191
1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
1220087990,54251122577,12829828703,32076601032,24218643735,1.3129E+11,1.1891E+11,95435419265,15772150095,3.35486E+11,1.92269E+11,24725047898,3568771818
970270280.9,43142996537,10202871922,10692200344,19259783266,1.04407E+11,94562837066,75894650051,12542741691,1.11829E+11,1.52901E+11,18409646816,2838052060
970270280.9,43142996537,10202871922,10692200344,19259783266,1.04407E+11,94562837066,75894650051,12542741691,1.11829E+11,1.52901E+11,18409646816,2838052060
970270280.9,43142996537,10202871922,10692200344,19259783266,1.04407E+11,94562837066,75894650051,12542741691,1.11829E+11,1.52901E+11,18409646816,2838052060
485135140.5,21571498268,5101435961,5346100172,9629891633,52203743768,47281418533,37947325025,6271370846,55914394906,76450412259,9204823408,1419026030
485135140.5,21571498268,5101435961,5346100172,9629891633,52203743768,47281418533,37947325025,6271370846,55914394906,76450412259,9204823408,1419026030
172315708.6,7662005286,1811984908,10692200344,3420452287,18542307803,16793941441,13478554030,2227535425,1.11829E+11,27154509878,2965974782,504025488.1
57438569.54,2554001762,603994969.2,3564066781,1140150762,6180769268,5597980480,4492851343,742511808.4,37276263271,9051503293,988658260.7,168008496
57438569.54,2554001762,603994969.2,3564066781,1140150762,6180769268,5597980480,4492851343,742511808.4,37276263271,9051503293,988658260.7,168008496
19146189.85,851333920.6,201331656.4,1188022260,380050254.1,2060256423,1865993493,1497617114,247503936.1,12425421090,3017167764,329552753.6,56002832.01
19146189.85,851333920.6,201331656.4,1188022260,380050254.1,2060256423,1865993493,1497617114,247503936.1,12425421090,3017167764,329552753.6,56002832.01
19146189.85,851333920.6,201331656.4,1188022260,380050254.1,2060256423,1865993493,1497617114,247503936.1,12425421090,3017167764,329552753.6,56002832.01
57438569.54,2554001762,603994969.2,3564066781,1140150762,6180769268,5597980480,4492851343,742511808.4,37276263271,9051503293,988658260.7,168008496
14359642.39,638500440.5,150998742.3,891016695.3,285037690.6,1545192317,1399495120,1123212836,185627952.1,9319065818,2262875823,247164565.2,42002124
14359642.39,638500440.5,150998742.3,891016695.3,285037690.6,1545192317,1399495120,1123212836,185627952.1,9319065818,2262875823,247164565.2,42002124
14359642.39,638500440.5,150998742.3,891016695.3,285037690.6,1545192317,1399495120,1123212836,185627952.1,9319065818,2262875823,247164565.2,42002124
7179821.193,319250220.2,75499371.15,445508347.7,142518845.3,772596158.5,699747560,561606417.9,92813976.05,4659532909,1131437912,123582282.6,21001062
7179821.193,319250220.2,75499371.15,445508347.7,142518845.3,772596158.5,699747560,561606417.9,92813976.05,4659532909,1131437912,123582282.6,21001062
14359642.39,638500440.5,150998742.3,891016695.3,285037690.6,1545192317,1399495120,1123212836,185627952.1,9319065818,2262875823,247164565.2,42002124
7179821.193,319250220.2,75499371.15,445508347.7,142518845.3,772596158.5,699747560,561606417.9,92813976.05,4659532909,1131437912,123582282.6,21001062
7179821.193,319250220.2,75499371.15,445508347.7,142518845.3,772596158.5,699747560,561606417.9,92813976.05,4659532909,1131437912,123582282.6,21001062
