NAICS,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,s_corporations,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,c_corporations,corporate_limited_partners,sole_proprietorships,tax_exempt_limited_partners
[[11292]],1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
[[112920]],1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
[[11293]],1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
[[112930]],1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
[[11299]],1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
[[112990]],1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
[[113]],1797335.446,219215826.6,643967449.1,5073935448,250715646.9,189230161.1,13396402.34,474647216,22250109.44,3411944961,176028736.9,10988931535,3806665.5
[[1131]],599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
[[11311]],599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
[[113110]],599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
[[1132]],599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
[[11321]],599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
[[113210]],599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
[[1133]],599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
[[11331]],599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
[[113310]],599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
[[114]],1625991.444,198317492.3,582576593.9,8634811696,226814364.3,171190427.2,12119293.39,429398036.8,20128956.81,6756957040,159247524.2,7218387203,3443767.575
[[1141]],812995.722,99158746.13,291288297,4317405848,113407182.2,85595213.6,6059646.694,214699018.4,10064478.4,3378478520,79623762.11,3609193602,1721883.788
[[11411]],812995.722,99158746.13,291288297,4317405848,113407182.2,85595213.6,6059646.694,214699018.4,10064478.4,3378478520,79623762.11,3609193602,1721883.788
[[114111]],270998.574,33052915.38,97096098.99,1439135283,37802394.06,28531737.87,2019882.231,71566339.47,3354826.135,1126159507,26541254.04,1203064534,573961.2626
[[114112]],270998.574,33052915.38,97096098.99,1439135283,37802394.06,28531737.87,2019882.231,71566339.47,3354826.135,1126159507,26541254.04,1203064534,573961.2626
[[114119]],270998.574,33052915.38,97096098.99,1439135283,37802394.06,28531737.87,2019882.231,71566339.47,3354826.135,1126159507,26541254.04,1203064534,573961.2626
[[1142]],812995.722,99158746.13,291288297,4317405848,113407182.2,85595213.6,6059646.694,214699018.4,10064478.4,3378478520,79623762.11,3609193602,1721883.788
[[11421]],812995.722,99158746.13,291288297,4317405848,113407182.2,85595213.6,6059646.694,214699018.4,10064478.4,3378478520,79623762.11,3609193602,1721883.788
[[114210]],812995.722,99158746.13,291288297,4317405848,113407182.2,85595213.6,6059646.694,214699018.4,10064478.4,3378478520,79623762.11,3609193602,1721883.788
[[115]],5183817.249,632255256.3,1857310263,0,723106027.8,545771561.6,38637473.98,1368962277,64173052.02,0,507696437.2,17485255005,10979062.54
[[1151]],1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
[[11511]],1727939.083,210751752.1,619103421,0,241035342.6,181923853.9,12879157.99,456320759.1,21391017.34,0,169232145.7,5828418335,3659687.515
[[115111]],287989.8472,35125292.02,103183903.5,0,40172557.1,30320642.31,2146526.332,76053459.85,3565169.556,0,28205357.62,971403055.9,609947.9191
