Codes:,Financial_Income
44612,19985246970.7
446120,19985246970.7
44613,19985246970.7
446130,19985246970.7
44619,19985246970.7
446191,9992623485.33
446199,9992623485.33
447,79940987882.6
4471,79940987882.6
44711,39970493941.3
447110,39970493941.3
44719,39970493941.3
447190,39970493941.3
448,79940987882.6
4481,26646995960.9
44811,4441165993.48
448110,4441165993.48
44812,4441165993.48
448120,4441165993.48
44813,4441165993.48
448130,4441165993.48
44814,4441165993.48
448140,4441165993.48
44815,4441165993.48
448150,4441165993.48
44819,4441165993.48
448190,4441165993.48
4482,26646995960.9
44821,26646995960.9
448210,26646995960.9
4483,26646995960.9
44831,13323497980.4
448310,13323497980.4
44832,13323497980.4
448320,13323497980.4
451,79940987882.6
4511,39970493941.3
45111,9992623485.33
451110,9992623485.33
45112,9992623485.33
451120,9992623485.33
45113,9992623485.33
451130,9992623485.33
45114,9992623485.33
451140,9992623485.33
4512,39970493941.3
45121,39970493941.3
451211,19985246970.7
451212,19985246970.7
452,79940987882.6
4521,39970493941.3
45211,39970493941.3
452111,19985246970.7
452112,19985246970.7
4529,39970493941.3
45291,19985246970.7
452910,19985246970.7
45299,19985246970.7
452990,19985246970.7
453,79940987882.6
4531,19985246970.7
45311,19985246970.7
453110,19985246970.7
4532,19985246970.7
45321,9992623485.33
453210,9992623485.33
45322,9992623485.33
453220,9992623485.33
4533,19985246970.7
45331,19985246970.7
453310,19985246970.7
4539,19985246970.7
45391,4996311742.67
453910,4996311742.67
45392,4996311742.67
453920,4996311742.67
45393,4996311742.67
453930,4996311742.67
45399,4996311742.67
453991,2498155871.33
453998,2498155871.33
454,79940987882.6
4541,26646995960.9
45411,26646995960.9
454111,8882331986.96
454112,8882331986.96
454113,8882331986.96
4542,26646995960.9
45421,26646995960.9
454210,26646995960.9
4543,26646995960.9
45431,13323497980.4
454310,13323497980.4
45439,13323497980.4
454390,13323497980.4
48.49,422901209785.0
481,38445564525.9
4811,19222782262.9
48111,19222782262.9
481111,9611391131.47
481112,9611391131.47
4812,19222782262.9
48121,19222782262.9
481211,6407594087.65
481212,6407594087.65
481219,6407594087.65
482,38445564525.9
4821,38445564525.9
48211,38445564525.9
482111,19222782262.9
482112,19222782262.9
483,38445564525.9
4831,19222782262.9
48311,19222782262.9
483111,4805695565.74
483112,4805695565.74
483113,4805695565.74
483114,4805695565.74
4832,19222782262.9
48321,19222782262.9
483211,9611391131.47
483212,9611391131.47
484,38445564525.9
4841,19222782262.9
48411,9611391131.47
484110,9611391131.47
48412,9611391131.47
484121,4805695565.74
484122,4805695565.74
4842,19222782262.9
48421,6407594087.65
484210,6407594087.65
48422,6407594087.65
484220,6407594087.65
48423,6407594087.65
484230,6407594087.65
485,38445564525.9
4851,6407594087.65
48511,6407594087.65
485111,1601898521.91
485112,1601898521.91
485113,1601898521.91
485119,1601898521.91
4852,6407594087.65
48521,6407594087.65
485210,6407594087.65
4853,6407594087.65
48531,3203797043.82
485310,3203797043.82
48532,3203797043.82
485320,3203797043.82
4854,6407594087.65
48541,6407594087.65
485410,6407594087.65
4855,6407594087.65
48551,6407594087.65
485510,6407594087.65
4859,6407594087.65
48599,6407594087.65
485991,3203797043.82
485999,3203797043.82
486,38445564525.9
4861,12815188175.3
48611,12815188175.3
486110,12815188175.3
4862,12815188175.3
48621,12815188175.3
486210,12815188175.3
4869,12815188175.3
48691,6407594087.65
486910,6407594087.65
48699,6407594087.65
486990,6407594087.65
487,38445564525.9
4871,12815188175.3
48711,12815188175.3
487110,12815188175.3
4872,12815188175.3
48721,12815188175.3
487210,12815188175.3
4879,12815188175.3
48799,12815188175.3
487990,12815188175.3
488,38445564525.9
4881,6407594087.65
48811,3203797043.82
488111,1601898521.91
488119,1601898521.91
48819,3203797043.82
488190,3203797043.82
4882,6407594087.65
48821,6407594087.65
488210,6407594087.65
4883,6407594087.65
48831,1601898521.91
488310,1601898521.91
48832,1601898521.91
488320,1601898521.91
48833,1601898521.91
488330,1601898521.91
48839,1601898521.91
488390,1601898521.91
4884,6407594087.65
48841,3203797043.82
488410,3203797043.82
48849,3203797043.82
488490,3203797043.82
4885,6407594087.65
48851,6407594087.65
488510,6407594087.65
4889,6407594087.65
48899,6407594087.65
488991,3203797043.82
488999,3203797043.82
491,38445564525.9
4911,38445564525.9
49111,38445564525.9
491110,38445564525.9
492,38445564525.9
4921,19222782262.9
49211,19222782262.9
492110,19222782262.9
4922,19222782262.9
49221,19222782262.9
492210,19222782262.9
493,38445564525.9
4931,38445564525.9
49311,9611391131.47
493110,9611391131.47
49312,9611391131.47
493120,9611391131.47
49313,9611391131.47
493130,9611391131.47
49319,9611391131.47
493190,9611391131.47
51,512965147664.0
511,85494191277.3
5111,42747095638.7
51111,8549419127.73
511110,8549419127.73
51112,8549419127.73
