Codes:,depreciation_deductions
611691,5179976.19048
611692,5179976.19048
611699,5179976.19048
6117,62159714.2857
61171,62159714.2857
611710,62159714.2857
62,4818733000.0
621,3920531000.0
6211,1038891000.0
62111,1038891000.0
621111,960137000.0
621112,78754000.0
6212,1706671000.0
62121,1706671000.0
621210,1706671000.0
6213,888865000.0
62131,234241000.0
621310,234241000.0
62132,228714000.0
621320,228714000.0
62133,260142000.0
621330,260142000.0
62139,165768000.0
621391,59075000.0
621399,106693000.0
6214,106693000.0
62141,35564333.3333
621410,35564333.3333
62142,35564333.3333
621420,35564333.3333
62149,35564333.3333
621491,8891083.33333
621492,8891083.33333
621493,8891083.33333
621498,8891083.33333
6215,32401000.0
62151,32401000.0
621511,16200500.0
621512,16200500.0
6216,88776000.0
62161,88776000.0
