Codes:,land_net,inventories_income,accumulated_depreciation_income,land_income,inventories_net,accumulated_depreciation_net,depreciable_assets_net,depreciable_assets_income
31331,145783973.046,30910312.6892,188841400.787,83409598.8656,47344117.4259,270095756.088,840990241.684,509528287.55
313310,145783973.046,30910312.6892,188841400.787,83409598.8656,47344117.4259,270095756.088,840990241.684,509528287.55
31332,145783973.046,30910312.6892,188841400.787,83409598.8656,47344117.4259,270095756.088,840990241.684,509528287.55
313320,145783973.046,30910312.6892,188841400.787,83409598.8656,47344117.4259,270095756.088,840990241.684,509528287.55
315,686468232.926,145550620.466,889217243.796,392759497.124,222934194.683,1271828120.25,3960058661.14,2399269109.44
3151,27494.4707547,5829.60301118,35614.9874554,15730.8291766,8928.97500854,50939.3434104,158608.529606,96095.6839634
31511,13747.2353774,2914.80150559,17807.4937277,7865.4145883,4464.48750427,25469.6717052,79304.2648031,48047.8419817
315110,13747.2353774,2914.80150559,17807.4937277,7865.4145883,4464.48750427,25469.6717052,79304.2648031,48047.8419817
31519,13747.2353774,2914.80150559,17807.4937277,7865.4145883,4464.48750427,25469.6717052,79304.2648031,48047.8419817
315190,13747.2353774,2914.80150559,17807.4937277,7865.4145883,4464.48750427,25469.6717052,79304.2648031,48047.8419817
3152,27494.4707547,5829.60301118,35614.9874554,15730.8291766,8928.97500854,50939.3434104,158608.529606,96095.6839634
31521,6873.61768869,1457.4007528,8903.74686384,3932.70729415,2232.24375213,12734.8358526,39652.1324016,24023.9209908
315210,6873.61768869,1457.4007528,8903.74686384,3932.70729415,2232.24375213,12734.8358526,39652.1324016,24023.9209908
31522,6873.61768869,1457.4007528,8903.74686384,3932.70729415,2232.24375213,12734.8358526,39652.1324016,24023.9209908
315220,6873.61768869,1457.4007528,8903.74686384,3932.70729415,2232.24375213,12734.8358526,39652.1324016,24023.9209908
31524,6873.61768869,1457.4007528,8903.74686384,3932.70729415,2232.24375213,12734.8358526,39652.1324016,24023.9209908
315240,6873.61768869,1457.4007528,8903.74686384,3932.70729415,2232.24375213,12734.8358526,39652.1324016,24023.9209908
31528,6873.61768869,1457.4007528,8903.74686384,3932.70729415,2232.24375213,12734.8358526,39652.1324016,24023.9209908
315280,6873.61768869,1457.4007528,8903.74686384,3932.70729415,2232.24375213,12734.8358526,39652.1324016,24023.9209908
3159,686413243.985,145538961.26,889146013.822,392728035.465,222916336.733,1271726241.57,3959741444.08,2399076918.07
31599,686413243.985,145538961.26,889146013.822,392728035.465,222916336.733,1271726241.57,3959741444.08,2399076918.07
315990,686413243.985,145538961.26,889146013.822,392728035.465,222916336.733,1271726241.57,3959741444.08,2399076918.07
316,155649076.048,33001992.6738,201620170.846,89053870.0907,50547861.8786,288372953.495,897899483.382,544007722.663
3161,51883025.3494,11000664.2246,67206723.6153,29684623.3636,16849287.2929,96124317.8316,299299827.794,181335907.554
31611,51883025.3494,11000664.2246,67206723.6153,29684623.3636,16849287.2929,96124317.8316,299299827.794,181335907.554
316110,51883025.3494,11000664.2246,67206723.6153,29684623.3636,16849287.2929,96124317.8316,299299827.794,181335907.554
3162,51883025.3494,11000664.2246,67206723.6153,29684623.3636,16849287.2929,96124317.8316,299299827.794,181335907.554
31621,51883025.3494,11000664.2246,67206723.6153,29684623.3636,16849287.2929,96124317.8316,299299827.794,181335907.554
316210,51883025.3494,11000664.2246,67206723.6153,29684623.3636,16849287.2929,96124317.8316,299299827.794,181335907.554
3169,51883025.3494,11000664.2246,67206723.6153,29684623.3636,16849287.2929,96124317.8316,299299827.794,181335907.554
31699,51883025.3494,11000664.2246,67206723.6153,29684623.3636,16849287.2929,96124317.8316,299299827.794,181335907.554
316992,25941512.6747,5500332.1123,33603361.8077,14842311.6818,8424643.64643,48062158.9158,149649913.897,90667953.7771
316998,25941512.6747,5500332.1123,33603361.8077,14842311.6818,8424643.64643,48062158.9158,149649913.897,90667953.7771
321,1841037483.45,390351854.851,2384789562.34,1053340739.61,597886674.24,3410912740.88,10620471687.0,6434593986.29
3211,613679161.152,130117284.95,794929854.115,351113579.869,199295558.08,1136970913.63,3540157229.01,2144864662.1
32111,613679161.152,130117284.95,794929854.115,351113579.869,199295558.08,1136970913.63,3540157229.01,2144864662.1
321113,306839580.576,65058642.4751,397464927.057,175556789.935,99647779.04,568485456.813,1770078614.51,1072432331.05
321114,306839580.576,65058642.4751,397464927.057,175556789.935,99647779.04,568485456.813,1770078614.51,1072432331.05
3212,613679161.152,130117284.95,794929854.115,351113579.869,199295558.08,1136970913.63,3540157229.01,2144864662.1
32121,613679161.152,130117284.95,794929854.115,351113579.869,199295558.08,1136970913.63,3540157229.01,2144864662.1
321211,122735832.23,26023456.99,158985970.823,70222715.9739,39859111.616,227394182.725,708031445.802,428972932.42
321212,122735832.23,26023456.99,158985970.823,70222715.9739,39859111.616,227394182.725,708031445.802,428972932.42
321213,122735832.23,26023456.99,158985970.823,70222715.9739,39859111.616,227394182.725,708031445.802,428972932.42
321214,122735832.23,26023456.99,158985970.823,70222715.9739,39859111.616,227394182.725,708031445.802,428972932.42
321219,122735832.23,26023456.99,158985970.823,70222715.9739,39859111.616,227394182.725,708031445.802,428972932.42
3219,613679161.152,130117284.95,794929854.115,351113579.869,199295558.08,1136970913.63,3540157229.01,2144864662.1
32191,204559720.384,43372428.3167,264976618.038,117037859.956,66431852.6934,378990304.542,1180052409.67,714954887.366
321911,68186573.4613,14457476.1056,88325539.3461,39012619.9855,22143950.8978,126330101.514,393350803.223,238318295.789
321912,68186573.4613,14457476.1056,88325539.3461,39012619.9855,22143950.8978,126330101.514,393350803.223,238318295.789
321918,68186573.4613,14457476.1056,88325539.3461,39012619.9855,22143950.8978,126330101.514,393350803.223,238318295.789
32192,204559720.384,43372428.3167,264976618.038,117037859.956,66431852.6934,378990304.542,1180052409.67,714954887.366
321920,204559720.384,43372428.3167,264976618.038,117037859.956,66431852.6934,378990304.542,1180052409.67,714954887.366
32199,204559720.384,43372428.3167,264976618.038,117037859.956,66431852.6934,378990304.542,1180052409.67,714954887.366
321991,68186573.4613,14457476.1056,88325539.3461,39012619.9855,22143950.8978,126330101.514,393350803.223,238318295.789
321992,68186573.4613,14457476.1056,88325539.3461,39012619.9855,22143950.8978,126330101.514,393350803.223,238318295.789
321999,68186573.4613,14457476.1056,88325539.3461,39012619.9855,22143950.8978,126330101.514,393350803.223,238318295.789
322,6279393451.76,1331408460.32,8134017963.35,3592724755.58,2039266283.74,11633909315.9,36224205626.2,21947053064.0
3221,3139696725.88,665704230.158,4067008981.67,1796362377.79,1019633141.87,5816954657.93,18112102813.1,10973526532.0
32211,1046565575.29,221901410.053,1355669660.56,598787459.264,339877713.957,1938984885.98,6037367604.36,3657842177.34
322110,1046565575.29,221901410.053,1355669660.56,598787459.264,339877713.957,1938984885.98,6037367604.36,3657842177.34
32212,1046565575.29,221901410.053,1355669660.56,598787459.264,339877713.957,1938984885.98,6037367604.36,3657842177.34
322121,523282787.647,110950705.026,677834830.279,299393729.632,169938856.979,969492442.988,3018683802.18,1828921088.67
322122,523282787.647,110950705.026,677834830.279,299393729.632,169938856.979,969492442.988,3018683802.18,1828921088.67
32213,1046565575.29,221901410.053,1355669660.56,598787459.264,339877713.957,1938984885.98,6037367604.36,3657842177.34
322130,1046565575.29,221901410.053,1355669660.56,598787459.264,339877713.957,1938984885.98,6037367604.36,3657842177.34
3222,3139696725.88,665704230.158,4067008981.67,1796362377.79,1019633141.87,5816954657.93,18112102813.1,10973526532.0
32221,784924181.47,166426057.54,1016752245.42,449090594.448,254908285.468,1454238664.48,4528025703.27,2743381633.01
322211,261641393.823,55475352.5132,338917415.139,149696864.816,84969428.4894,484746221.494,1509341901.09,914460544.335
322212,261641393.823,55475352.5132,338917415.139,149696864.816,84969428.4894,484746221.494,1509341901.09,914460544.335
322219,261641393.823,55475352.5132,338917415.139,149696864.816,84969428.4894,484746221.494,1509341901.09,914460544.335
32222,784924181.47,166426057.54,1016752245.42,449090594.448,254908285.468,1454238664.48,4528025703.27,2743381633.01
