,Codes:,Financial_Income
270,238350.0,8559031863.302758
271,23839.0,8559031863.302758
272,238390.0,8559031863.302758
273,2389.0,51354191179.81655
274,23891.0,25677095589.908276
275,238910.0,25677095589.908276
276,23899.0,25677095589.908276
277,238990.0,25677095589.908276
278,31.0,1561611076585.0393
279,311.0,60201269000.58447
280,3111.0,6689029888.953831
281,31111.0,6689029888.953831
282,311111.0,3344514944.4769154
283,311119.0,3344514944.4769154
284,3112.0,6689029888.953831
285,31121.0,2229676629.651277
286,311211.0,743225543.2170924
287,311212.0,743225543.2170924
288,311213.0,743225543.2170924
289,31122.0,2229676629.651277
290,311221.0,743225543.2170924
291,311224.0,743225543.2170924
292,311225.0,743225543.2170924
293,31123.0,2229676629.651277
294,311230.0,2229676629.651277
295,3113.0,6689029888.953831
296,31131.0,2229676629.651277
297,311313.0,1114838314.8256385
298,311314.0,1114838314.8256385
299,31134.0,2229676629.651277
300,311340.0,2229676629.651277
301,31135.0,2229676629.651277
302,311351.0,1114838314.8256385
303,311352.0,1114838314.8256385
304,3114.0,6689029888.953831
305,31141.0,3344514944.4769154
306,311411.0,1672257472.2384577
307,311412.0,1672257472.2384577
308,31142.0,3344514944.4769154
309,311421.0,1114838314.8256385
310,311422.0,1114838314.8256385
311,311423.0,1114838314.8256385
312,3115.0,6689029888.953831
313,31151.0,3344514944.4769154
314,311511.0,836128736.1192288
315,311512.0,836128736.1192288
316,311513.0,836128736.1192288
317,311514.0,836128736.1192288
318,31152.0,3344514944.4769154
319,311520.0,3344514944.4769154
320,3116.0,6689029888.953831
321,31161.0,6689029888.953831
322,311611.0,1672257472.2384577
323,311612.0,1672257472.2384577
324,311613.0,1672257472.2384577
325,311615.0,1672257472.2384577
326,3117.0,6689029888.953831
327,31171.0,6689029888.953831
328,311710.0,6689029888.953831
329,3118.0,6689029888.953831
330,31181.0,2229676629.651277
331,311811.0,743225543.2170924
332,311812.0,743225543.2170924
333,311813.0,743225543.2170924
334,31182.0,2229676629.651277
335,311821.0,1114838314.8256385
336,311824.0,1114838314.8256385
337,31183.0,2229676629.651277
338,311830.0,2229676629.651277
339,3119.0,6689029888.953831
340,31191.0,1337805977.7907662
341,311911.0,668902988.8953831
342,311919.0,668902988.8953831
343,31192.0,1337805977.7907662
344,311920.0,1337805977.7907662
345,31193.0,1337805977.7907662
346,311930.0,1337805977.7907662
347,31194.0,1337805977.7907662
348,311941.0,668902988.8953831
349,311942.0,668902988.8953831
350,31199.0,1337805977.7907662
351,311991.0,668902988.8953831
352,311999.0,668902988.8953831
353,312.0,60201269000.58447
354,3121.0,30100634500.292236
