HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
042342740795892,91001,3,201405,23,15.00
707109262104374,91001,2,201405,48,20.00
399570717440733,93001,1,201405,59,14.30
135372689300549,93001,2,201405,61,15.00
135372689300549,93001,3,201405,26,12.00
135372689300549,93001,4,201405,23,7.25
503707483893223,93001,1,201405,46,15.00
503707483893223,93001,4,201405,20,8.00
480932072337759,91002,1,201405,23,18.00
480932072337759,91002,2,201405,23,10.25
943729270587303,91001,2,201405,62,11.00
374917901036346,91001,2,201405,30,22.00
379690256620773,91001,2,201405,31,11.95
470983304039413,93001,1,201405,26,25.00
794049170757405,91001,1,201405,58,19.18
794049170757405,91001,2,201405,57,38.71
985569670197405,91001,2,201405,59,16.00
086594350795297,93001,2,201405,30,13.98
507604505944460,91001,1,201405,65,12.00
507604505944460,91001,2,201405,50,12.50
103601145948750,93001,1,201405,64,20.00
144070199570670,91001,1,201405,71,10.00
099270714200735,93001,1,201405,59,18.00
099270714200735,93001,3,201405,25,10.00
870911071557779,91001,6,201405,61,12.00
020916071657819,91001,1,201405,57,21.80
776091935579430,91001,3,201405,25,12.00
530914068503529,93001,3,201405,28,10.00
637091951039470,93001,2,201405,47,14.50
610584023908997,93001,2,201405,61,35.00
199680330340670,91001,1,201405,41,17.50
199680330340670,91001,2,201405,34,20.50
900426099207099,91001,1,201405,41,18.00
907903590696362,91001,1,201405,34,35.00
620346077909661,91001,2,201405,56,15.25
107003020103454,91001,1,201405,34,30.00
734090779400655,93001,2,201405,55,41.00
967014903078460,91001,1,201405,29,12.00
610944097307068,91001,1,201405,47,10.00
480442092307759,91001,2,201405,49,8.00
480442092307759,91001,3,201405,19,9.50
444729270589003,91001,1,201405,59,21.00
444729270589003,91001,2,201405,59,14.00
070747097507549,91001,2,201405,63,31.15
077450740975097,91001,1,201405,71,27.50
096913907065475,93001,3,201405,21,10.00
764469730449004,93001,2,201405,22,10.50
078610340998093,93001,1,201405,50,11.35
078610340998093,93001,2,201405,51,19.46
479610834120970,91001,1,201405,42,10.00
047530350990291,93001,3,201405,38,8.35
290950069807079,91001,2,201405,67,26.00
740952098903509,93001,1,201405,56,12.60
740952098903509,93001,2,201405,56,23.00
599610199140670,91001,2,201405,60,9.20
