HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
048273870017904,88001,2,201206,28,1
008901653999797,88001,1,201206,37,0
045063170998198,89001,3,201206,21,0
045063170998198,89001,4,201206,18,0
008057186340410,90001,2,201206,46,2
050593570990796,90001,2,201206,45,0
430709939935493,90001,5,201206,22,0
430709939935493,90001,6,201206,19,0
399934305043799,90001,2,201206,48,0
804904623792597,90001,1,201206,21,1
168308320700278,90001,1,201206,33,0
906901993793237,90001,1,201206,21,2
630709923199379,90001,1,201206,47,2
363904304069759,90001,2,201206,47,1
363904304069759,90001,3,201206,15,0
398962606090749,89002,1,201206,45,2
173096015001204,90001,1,201206,43,3
977067911379190,90001,2,201206,35,3
902907253992787,89001,2,201206,46,1
729392589700927,89001,3,201206,23,0
367992307087789,89001,2,201206,46,0
130700046336610,89001,2,201206,40,1
306031406060731,89001,1,201206,27,0
306031406060731,89001,2,201206,27,0
067273170978196,89002,1,201206,17,0
710770334380043,90001,2,201206,35,3
652391769700878,90001,2,201206,34,1
789770334380963,90001,1,201206,31,1
720660712780073,90001,2,201206,27,0
180973094937079,90001,1,201206,42,2
180973094937079,90001,3,201206,16,0
964097995379460,90001,1,201206,20,3
392908701048759,88001,1,201206,49,2
173054078909892,88001,1,201206,35,2
393588093908194,89001,1,201206,28,0
393011026909092,90001,1,201206,28,0
530909974529266,90001,1,201206,37,1
922089875369600,90001,1,201206,42,2
922089875369600,90001,3,201206,24,0
989260502870963,90001,1,201206,32,6
399957800058945,90001,1,201206,37,5
399957800058945,90001,2,201206,17,0
399957800058945,90001,3,201206,16,0
640698091138439,88001,2,201206,34,1
669419880349301,88001,1,201206,37,0
080892069236429,90001,1,201206,48,0
730906959917884,90001,2,201206,47,2
730906959917884,90001,3,201206,15,0
630997095637999,90001,1,201206,33,1
028423190977192,89002,1,201206,21,1
234301820900127,89001,2,201206,32,1
430906919677092,90001,2,201206,15,0
152307790900106,90001,1,201206,35,4
890497096935179,90001,2,201206,25,0
809279960159306,90001,1,201206,24,0
993960007908893,90001,2,201206,31,3
009783290690299,89001,2,201206,41,4
899899620699303,89002,1,201206,33,4
969099883329690,89002,1,201206,25,1
493837053905492,89001,1,201206,43,2
759699450509302,90001,2,201206,36,2
500794099235659,90001,1,201206,47,2
397995106078988,90001,1,201206,47,0
107904873595109,90001,1,201206,39,2
171398709900554,90001,3,201206,47,3
171398709900554,90001,4,201206,22,0
930894065438829,88001,1,201206,50,2
086099166340520,90001,2,201206,42,4
793212006909463,90001,2,201206,23,0
630906903127294,90001,1,201206,26,0
049313290985797,89001,1,201206,32,1
430909906593391,90001,2,201206,25,0
396994003031959,90001,1,201206,50,0
999980226010973,90001,3,201206,25,0
801904773894159,89001,1,201206,42,2
808902633999939,88001,1,201206,30,3
793997031909562,89001,1,201206,49,3
793997031909562,89001,3,201206,18,0
793997031909562,89001,4,201206,16,0
293110094909066,90001,1,201206,41,5
886362739900992,88002,1,201206,50,2
011743290987694,89001,1,201206,21,2
869749120719304,89001,1,201206,20,1
974019874329160,89001,1,201206,43,2
974019874329160,89001,2,201206,16,0
789799050379300,90001,2,201206,34,3
789799050379300,90001,3,201206,15,0
614039840329660,89001,2,201206,50,2
430906980862092,90001,4,201206,21,0
001902693896579,89001,2,201206,28,0
510396979900862,89001,1,201206,24,0
397961509060928,89001,1,201206,33,3
542397589900935,90001,1,201206,38,1
391946601043919,90001,1,201206,42,0
005099126380760,88001,2,201206,29,3
399932003071959,89001,2,201206,35,2
989639130039300,89001,1,201206,26,0
071813490986094,90001,2,201206,23,0
903039860389180,88001,1,201206,29,0
993667012909862,89001,1,201206,46,5
809139380576303,88001,2,201206,25,0
