HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
727190779800923,86001,3,201006,18,0
881113042909767,86001,3,201006,20,0
881113042909767,86001,4,201006,18,0
890186005512030,86002,1,201006,41,4
890186005512030,86002,2,201006,16,0
069351280010805,86001,1,201006,34,0
543198969800950,87001,1,201006,43,2
453105600800174,87001,1,201006,27,2
481934096909095,87001,2,201006,28,1
820191549800768,86001,2,201006,39,0
201903971892148,86001,1,201006,43,4
201903971892148,86001,4,201006,22,0
201903971892148,86001,5,201006,19,0
201903971892148,86001,6,201006,16,0
201903971892148,86001,8,201006,23,0
810809964208293,85001,3,201006,29,0
196978603008809,85002,1,201006,24,2
193998001096909,85001,3,201006,28,0
402903201994879,86001,2,201006,38,2
810909953924299,85001,1,201006,24,0
463199909900975,87001,1,201006,39,2
191110066909291,87001,1,201006,30,3
042059122180410,85001,2,201006,40,4
910240214520081,85001,2,201006,33,2
805000731100669,87001,1,201006,25,0
041193729900960,87001,2,201006,25,2
168932204020989,86001,3,201006,20,0
162904701048959,87001,1,201006,30,2
148295179000924,87001,1,201006,25,0
099830011470952,87001,1,201006,29,0
421294799000999,86001,1,201006,27,3
094792400013001,87001,2,201006,39,2
900169450989206,87001,2,201006,35,0
900169450989206,87001,3,201006,32,0
120102002426270,87001,1,201006,37,3
065772100997996,86001,2,201006,39,1
937030930259660,87001,2,201006,24,0
820009955643292,85001,1,201006,38,2
820009955643292,85001,2,201006,18,0
203001902019061,86001,1,201006,31,2
111390820050209,86001,2,201006,23,0
200055505022111,87001,1,201006,38,4
508608142993251,85001,3,201006,27,0
250916097421329,86001,1,201006,16,0
420109980217098,87001,2,201006,20,0
012779054909698,87001,3,201006,27,0
096061198260730,87001,1,201006,31,0
502907402998781,86001,4,201006,17,1
149290059100944,87001,2,201006,39,1
264906608169118,87001,1,201006,31,1
108607572997961,85001,1,201006,44,1
296925701008158,87001,1,201006,27,0
199430997230952,87001,1,201006,44,2
199430997230952,87001,2,201006,17,0
199430997230952,87001,3,201006,23,0
812685046909793,87001,1,201006,21,2
269905901037139,87001,1,201006,34,0
058292110693098,86001,2,201006,17,0
291974906058169,87001,1,201006,26,1
150202900200195,87001,1,201006,36,0
032372520995697,87001,3,201006,17,0
204002403087251,86001,4,201006,22,0
014102420986990,87001,3,201006,31,2
852719020419205,86002,2,201006,43,3
084682520994392,87001,3,201006,22,1
092192820982590,85001,2,201006,37,2
308905262993702,85001,2,201006,32,2
013292120995699,86001,3,201006,21,0
102450360700203,87001,2,201006,44,1
005572130994693,86001,2,201006,38,2
290964404034319,87001,2,201006,34,3
702600952995413,86001,2,201006,43,3
702600952995413,86001,4,201006,22,0
608602192996603,85001,1,201006,41,2
702903402998053,86001,2,201006,38,2
993039350669205,87001,3,201006,24,1
399330596600952,87001,2,201006,15,0
032372130695697,86001,2,201006,39,2
032372130695697,86001,3,201006,17,0
057912530998196,87001,3,201006,22,1
813799660579206,87001,2,201006,40,3
813799660579206,87001,3,201006,18,0
620306925814395,87001,1,201006,41,0
932161074909367,87001,1,201006,38,3
932161074909367,87001,4,201006,17,0
606023943269090,87001,1,201006,24,0
031692130690990,86001,2,201006,40,0
801908352898873,86001,2,201006,28,1
389430773420962,87001,1,201006,23,0
977074821269550,87001,1,201006,26,2
085092140993199,86001,1,201006,27,0
460541098224859,87001,1,201006,41,0
489980910530962,87001,3,201006,17,0
499510487140912,86001,1,201006,34,2
106907642992874,87001,3,201006,17,0
914869510976201,86001,2,201006,32,1
842020075908096,87001,2,201006,40,3
842020075908096,87001,3,201006,15,0
021034115220960,86001,3,201006,21,0
640299209400934,87001,1,201006,24,0
242943064909090,87001,1,201006,32,1
943054986259840,87001,1,201006,37,3
450148003628840,85001,2,201006,35,2
008900862797484,85001,1,201006,34,0
520409965308053,87001,3,201006,23,0
442960006909191,87001,2,201006,27,2
908909502795154,85001,1,201006,25,0
880941094521419,86001,2,201006,27,2
608904882997874,85002,2,201006,28,0
420509958698195,87001,2,201006,26,2
804904622796445,87001,2,201006,31,1
820509905326393,85001,1,201006,42,1
993055815249140,87001,1,201006,37,3
752055074909497,87001,1,201006,42,2
011292259500837,86001,3,201006,24,0
009092250935291,86001,2,201006,29,2
910025973259520,87001,2,201006,29,2
308901452798435,85001,1,201006,41,3
299912304098529,86001,2,201006,38,2
510750811410082,85001,2,201006,40,3
880757091621669,86001,2,201006,40,3
880757091621669,86001,4,201006,24,0
297904306042529,87001,1,201006,27,0
120957092721049,86001,3,201006,26,0
120957092721049,86001,7,201006,21,0
915029710429207,86001,1,201006,38,7
297908707027639,85001,1,201006,33,1
297914709013669,87001,2,201006,36,2
290918807008629,85001,2,201006,37,1
290918807008629,85001,3,201006,15,0
020452860988298,85001,1,201006,33,2
757294059600847,87001,1,201006,27,0
295945700047678,87001,1,201006,22,0
008722560993697,87001,1,201006,30,1
306903802996256,87001,1,201006,25,0
462399038909295,85001,2,201006,30,0
880964090921789,86001,2,201006,19,0
048892460017800,87001,1,201006,26,0
120600092941417,86001,2,201006,43,4
762212008909493,85001,3,201006,28,0
762212008909493,85001,4,201006,24,0
526291489600902,86001,2,201006,26,0
662139094909091,87001,1,201006,38,3
160961069925309,87001,1,201006,22,0
727293419600960,86001,1,201006,28,0
299955605084658,87001,1,201006,31,2
186360760610204,87001,1,201006,27,1
820609967381496,85001,1,201006,27,1
820606993263998,85001,1,201006,32,4
988266339600992,85001,1,201006,23,1
696449120159208,86001,1,201006,35,0
062743055908593,87001,2,201006,34,2
090963094521879,86001,2,201006,41,2
082452560998592,87001,1,201006,43,2
702900062995846,86001,2,201006,44,3
702900062995846,86001,3,201006,17,0
405903732898856,87001,1,201006,22,0
708908572990056,85001,2,201006,32,2
562797068001501,85002,2,201006,30,1
685207510600179,85002,1,201006,21,0
015572860939796,85001,3,201006,17,0
820609957701142,85001,1,201006,33,2
582290179600417,85001,2,201006,36,2
041032170996999,86001,2,201006,30,0
672545085908793,87001,1,201006,39,0
997459750899201,87001,1,201006,43,2
167298649700912,87001,3,201006,16,0
110297369700614,86001,4,201006,23,1
850679093424199,87001,2,201006,25,0
160473096225469,87001,1,201006,27,0
036622570944196,87001,1,201006,37,0
029812170990897,86001,2,201006,30,2
402909692991417,86001,1,201006,31,0
292994001010749,87001,1,201006,26,0
297934907058709,87001,1,201006,44,2
297934907058709,87001,3,201006,18,0
851209520700142,87001,1,201006,32,1
022087184260130,87001,2,201006,37,2
282657075909363,87001,3,201006,21,0
266902708000829,86001,3,201006,31,2
810540333290042,87001,2,201006,35,1
850880092928599,85001,1,201006,25,0
850880092928599,85001,2,201006,25,0
850880092928599,85001,3,201006,27,0
517203180800178,86001,2,201006,39,0
920299019800910,86001,1,201006,27,2
420809967480592,87001,1,201006,43,2
899700323650682,85001,2,201006,43,2
899700323650682,85001,3,201006,18,0
306607302993438,87001,2,201006,35,1
089782590996590,87001,1,201006,32,5
708908352999159,85001,2,201006,31,2
909899710909201,86001,4,201006,15,0
406909462996219,87001,1,201006,44,2
820909931527292,85001,2,201006,42,1
341291059900951,87001,1,201006,38,0
820909967303796,85001,1,201006,44,2
265908107051909,85001,2,201006,30,3
903029763259780,87001,1,201006,32,2
